animal,session,start,duration_s,crosses_midnight,pc_steps_inside,mid_anchor_resid_ms,n_anchors,n_native_start,n_native_end,start_delay_ms,off_start_ms,n_borrowed,borrowed_from,gap_to_next_s,n_kept,drift_native_ppm,drift_native_sem_ppm,native_residual_ms,tail_extrap_h,tail_extrap_unc_ms,drift_chained_ppm,chain_unc_ppm,chain_span_s,start_vs_prev_ms,end_vs_next_ms,verdict,step_note
SF07,0_20260831_185816.804,2026-08-31 18:58:16.804,33.869,False,,,8,8,8,854,939,6,next:6,14.1,,,,,,,190.7,26793.7,56.0,,+12,OK-chained,
SF07,1_20260831_185904.795,2026-08-31 18:59:04.795,19290.982,True,,0.36h:+11 0.36h:+25 0.36h:-29 0.90h:+24 0.90h:+17 0.91h:+31 0.91h:-114 0.91h:+24 0.91h:-117 0.91h:-232 0.91h:-47 0.91h:-12 0.91h:+7 0.92h:+28 0.92h:-4 0.92h:+6 0.92h:-33 0.92h:-72 0.92h:+8 0.92h:-32 0.93h:-7 0.93h:+4 0.93h:+25 0.93h:-14 0.93h:+17 0.93h:-55 0.93h:-7 0.94h:+19 0.94h:+29 0.94h:-10 0.94h:+17 0.94h:+24 0.94h:-65 0.94h:+6 0.95h:-31 0.95h:-9 0.95h:+16 0.95h:+32 0.95h:-5 0.95h:+12 0.95h:-21 0.96h:+9 0.96h:+31 0.96h:+2 0.96h:+9 0.96h:+33 0.96h:-8 0.96h:+15 0.97h:+33 0.97h:-12 0.97h:+8 0.97h:-85 0.97h:-7 0.98h:-12 0.98h:+13 0.98h:+33 0.98h:-7 0.98h:+10 0.98h:+34 0.98h:-3 0.99h:-50 0.99h:-24 0.99h:-6 0.99h:+19 0.99h:+34 0.99h:-9 0.99h:+16 1.00h:-19 1.00h:-4 1.00h:+13 1.00h:+34 1.00h:-7 1.00h:+16 1.00h:-16 1.01h:-3 1.01h:+24 1.01h:+34 1.01h:-2 1.01h:+17 1.01h:-16 1.01h:-4 1.01h:+21 1.02h:+33 1.02h:-4 1.02h:+17 1.02h:-16 1.02h:-2 1.02h:+21 1.02h:-22 1.03h:+2 1.03h:+17 1.03h:+33 1.03h:-61 1.03h:+23 1.03h:-21 1.03h:+0 1.04h:+18 1.04h:-1 1.04h:+17 1.04h:-21 1.04h:-4 1.04h:+19 1.05h:+36 1.05h:+0 1.05h:+15 1.05h:-20 1.05h:-6 1.05h:+19 1.05h:-23 1.06h:+1 1.06h:+28 1.06h:-20 1.06h:+1 1.06h:+20 1.06h:-18 1.06h:+2 1.06h:+22 1.07h:+36 1.07h:+6 1.07h:+22 1.07h:-10 1.07h:-3 1.07h:+27 1.07h:-17 1.08h:+5 1.08h:-37 1.08h:-14 1.08h:+2 1.08h:+31 1.08h:-22 1.08h:+11 1.09h:+20 1.09h:-8 1.09h:-0 1.09h:+19 1.09h:-17 1.09h:+5 1.09h:-37 1.10h:-17 1.10h:+3 1.10h:+30 1.10h:-15 1.10h:+4 1.10h:+24 1.10h:-77 1.11h:+5 1.11h:+27 1.11h:-17 1.11h:+14 1.11h:+26 1.11h:-12 1.11h:+5 1.11h:+25 1.12h:-14 1.12h:+13 1.12h:+26 1.12h:-18 1.12h:+6 1.12h:+27 1.12h:-14 1.13h:+6 1.13h:+23 1.13h:-66 1.13h:+7 1.13h:+31 1.13h:-13 1.13h:+11 1.14h:+23 1.14h:-8 1.14h:+2 1.14h:+36 1.14h:-12 1.14h:+3 1.14h:+27 1.15h:-12 1.15h:+8 1.15h:+34 1.15h:-11 1.15h:+10 1.15h:+28 1.15h:-4 1.16h:+9 1.16h:+38 1.16h:-10 1.16h:+12 1.16h:+25 1.16h:-14 1.16h:+11 1.16h:+28 1.17h:-130 1.17h:+14 1.17h:+30 1.17h:-7 1.17h:-53 2.13h:-67 2.13h:+51 2.13h:+50 2.13h:-70 2.13h:-19,216,6,11,0,951,0,,25.2,214,-23.9,0.6,32.7,,,,,0.0,+12,+17,OK-native,
SF07,2_20260901_002100.939,2026-09-01 00:21:00.939,19207.104,False,,0.23h:+33 0.23h:+31,21,17,2,976,541,0,,18.8,20,-18.7,1.1,27.0,,,,,0.0,+17,-88,OK-native,
SF07,3_20260901_054126.846,2026-09-01 05:41:26.846,3297.357,False,,,22,4,0,700,96,0,,4381.3,,,,,,,,,0.0,-88,,one-end-only,
SF07,4_20260901_074925.529,2026-09-01 07:49:25.529,77.965,False,,,16,16,16,164,296,10,next:10,9.4,,,,,,,-125.7,14671.7,102.2,,-14,OK-chained,
SF07,5_20260901_075052.875,2026-09-01 07:50:52.875,18214.746,False,,0.22h:-98,13,10,2,1400,282,0,,14.5,12,-20.4,1.6,34.0,,,,,0.0,-14,-18,OK-native,
SF07,6_20260901_125442.165,2026-09-01 12:54:42.165,15437.517,False,2026-09-01 13:09:11:+2.600s@869s,2.26h:+32 2.26h:-157 3.80h:+26 3.80h:-4 3.80h:+74 3.80h:-74 3.80h:-118,17,8,2,1498,-109,0,,11.1,16,-28.9,2.6,64.2,,,,,0.0,-18,+2562,OK-native (PC step modelled),
SF07,7_20260901_171210.814,2026-09-01 17:12:10.814,4052.851,False,,,10,7,3,861,2080,0,,4127.1,,,,,,,,,0.0,+2562,-1781,one-end-only,
SF07,8_20260901_192830.797,2026-09-01 19:28:30.797,32.333,False,,,7,7,7,270,239,9,next:9,9.1,,,,,,,-196.1,27562.4,54.4,-1781,-10,OK-chained,
SF07,9_20260901_192912.215,2026-09-01 19:29:12.215,15247.13,False,,4.18h:+17 4.18h:+16 4.19h:+28 4.19h:+22 4.19h:+13 4.19h:+16 4.20h:+10 4.20h:-449 4.20h:+20,31,9,13,1092,230,0,,13.3,26,-21.1,1.0,33.8,,,,,0.0,-10,-15,OK-native,
